LABEL_PRINT_YEAR_WEEK_UTC,COUNT(*)
2024-W06,4858
2024-W05,20948
2024-W04,19410
2024-W03,20675
2024-W02,18448
2024-W01,18674
2023-W52,16971
2023-W51,16625
2023-W50,19386
2023-W49,19536
2023-W48,29389
2023-W47,31974
2023-W46,23504
2023-W45,20663
2023-W44,20178
2023-W43,20108
2023-W42,25557
2023-W41,22418
2023-W40,21188
2023-W39,23176
2023-W38,20304
2023-W37,19495
2023-W36,19223
2023-W35,19919
2023-W34,16552
2023-W33,16232
2023-W32,16599
2023-W31,17069
2023-W30,15856
2023-W29,15123
2023-W28,16084
2023-W27,15905
2023-W26,16917
2023-W25,16601
2023-W24,16106
2023-W23,17538
2023-W22,17584
2023-W21,18860
2023-W20,16024
2023-W19,16394
2023-W18,18447
2023-W17,18121
2023-W16,16080
2023-W15,15352
2023-W14,20244
2023-W13,17315
2023-W12,16042
2023-W11,17050
2023-W10,16686
2023-W09,19043
2023-W08,15345
2023-W07,13971
2023-W06,16328
2023-W05,19301
2023-W04,18751
2023-W03,16218
2023-W02,15570
2023-W01,17433
2022-W52,14454
2022-W51,12308
2022-W50,15991
2022-W49,20217
2022-W48,26258
2022-W47,24517
2022-W46,21321
2022-W45,17798
2022-W44,12401
2022-W43,12222
2022-W42,12500
2022-W41,11807
2022-W40,11207
2022-W39,11378
2022-W38,11722
2022-W37,11896
2022-W36,10879
2022-W35,13532
2022-W34,16775
2022-W33,15923
2022-W32,13980
2022-W31,13660
2022-W30,14072
2022-W29,15730
2022-W28,11013
2022-W27,8616
2022-W26,9592
2022-W25,9912
2022-W24,9536
2022-W23,10360
2022-W22,11094
2022-W21,10566
2022-W20,9436
2022-W19,10041
2022-W18,9852
2022-W17,9472
2022-W16,11390
2022-W15,8778
2022-W14,9159
2022-W13,12358
2022-W12,8255
2022-W11,8399
2022-W10,8755
2022-W09,7636
2022-W08,7544
2022-W07,8135
2022-W06,7778
2022-W05,9938
2022-W04,10402
2022-W03,9666
2022-W02,8256
2022-W01,12042
2021-W52,9028
2021-W51,8325
2021-W50,11798
2021-W49,11561
2021-W48,17250
2021-W47,19272
2021-W46,13341
2021-W45,12162
2021-W44,11215
2021-W43,8763
2021-W42,9243
2021-W41,7555
2021-W40,7797
2021-W39,8780
2021-W38,7918
2021-W37,7763
2021-W36,9298
2021-W35,9314
2021-W34,8071
2021-W33,7455
2021-W32,6965
2021-W31,7984
2021-W30,8471
2021-W29,8456
2021-W28,8163
2021-W27,6754
2021-W26,7436
2021-W25,8718
2021-W24,8062
2021-W23,7610
2021-W22,7366
2021-W21,8365
2021-W20,9687
2021-W19,8342
2021-W18,8982
2021-W17,10061
2021-W16,9438
2021-W15,7659
2021-W14,8200
2021-W13,10439
2021-W12,6881
2021-W11,8274
2021-W10,7833
2021-W09,10397
2021-W08,10978
2021-W07,9483
2021-W06,7599
2021-W05,11332
2021-W04,10896
2021-W03,7192
2021-W02,8045
2021-W01,8247
2020-W53,6955
2020-W52,46
2020-W31,1
